square,cx_px,cy_px
a1,50,50
a2,150,50
a3,250,50
a4,350,50
a5,450,50
a6,550,50
a7,650,50
a8,750,50
b1,50,150
b2,150,150
b3,250,150
b4,350,150
b5,450,150
b6,550,150
b7,650,150
b8,750,150
c1,50,250
c2,150,250
c3,250,250
c4,350,250
c5,450,250
c6,550,250
c7,650,250
c8,750,250
d1,50,350
d2,150,350
d3,250,350
d4,350,350
d5,450,350
d6,550,350
d7,650,350
d8,750,350
e1,50,450
e2,150,450
e3,250,450
e4,350,450
e5,450,450
e6,550,450
e7,650,450
e8,750,450
f1,50,550
f2,150,550
f3,250,550
f4,350,550
f5,450,550
f6,550,550
f7,650,550
f8,750,550
g1,50,650
g2,150,650
g3,250,650
g4,350,650
g5,450,650
g6,550,650
g7,650,650
g8,750,650
h1,50,750
h2,150,750
h3,250,750
h4,350,750
h5,450,750
h6,550,750
h7,650,750
h8,750,750
